trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.05, 'e': 0.9999838441236936}",20,8,-2.282920300306944,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.9999776222326268}",20,5,-49.853723777062946,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 0}",1
72,False,"{'a': 0.05, 'e': 0.9999693011971298}",25,0,-175.52943121860477,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
73,False,"{'a': 0.05, 'e': 0.9999582777079669}",30,0,-85.35525599357477,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.05, 'e': 0.9999438076957436}",20,0,-136.91637169713243,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.05, 'e': 0.9999249822774903}",20,0,-66.22309161514198,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.05, 'e': 0.9999007016101188}",25,0,-140.58858596544994,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.05, 'e': 0.9998696468758599}",20,0,-53.723083566839954,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.9998302507134224}",20,0,-54.535634673898606,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.05, 'e': 0.9997806664982156}",20,0,-116.43372687184727,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
80,False,"{'a': 0.05, 'e': 0.9997187369620659}",20,0,-58.210737373751776,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.05, 'e': 0.9996419627238654}",25,0,-86.23577189437947,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.05, 'e': 0.999547471373903}",20,0,-127.7475167910468,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.05, 'e': 0.9994319878128213}",20,0,-155.91698985334315,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
84,False,"{'a': 0.05, 'e': 0.9992918065881613}",20,5,-83.76993328240557,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 1}",1
85,False,"{'a': 0.05, 'e': 0.9991227669947487}",30,0,-276.1520103143372,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 5}",0
86,False,"{'a': 0.05, 'e': 0.9989202317078227}",25,0,-120.83225384268583,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
87,False,"{'a': 0.05, 'e': 0.9986790696986848}",30,0,-227.39798442501643,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
88,False,"{'a': 0.05, 'e': 0.9983936441413632}",30,0,-127.31961593964013,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
89,False,"{'a': 0.05, 'e': 0.9980578059558912}",25,0,-52.254653249060375,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
90,False,"{'a': 0.05, 'e': 0.9976648935505397}",20,0,-59.724232772760416,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.05, 'e': 0.9972077392238285}",30,0,-121.68298234844389,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
92,False,"{'a': 0.05, 'e': 0.9966786825700865}",20,0,-34.11323043076063,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.9960695911030094}",20,0,-76.7528221014373,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.05, 'e': 0.995371888173788}",20,0,-60.06005470326094,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.05, 'e': 0.994576588117868}",25,0,-149.6356587233553,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
96,False,"{'a': 0.05, 'e': 0.9936743384213115}",20,0,-55.417303876115994,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
97,False,"{'a': 0.05, 'e': 0.9926554685580351}",30,9,-49.24822578559014,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.9915100450166834}",25,0,-157.75165123304845,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
99,False,"{'a': 0.05, 'e': 0.990227931914004}",25,7,-107.51670342809848,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
100,False,"{'a': 0.05, 'e': 0.988798856483345}",20,0,-21.93351655365534,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.05, 'e': 0.9872124786347787}",20,1,-117.0752203909433,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
102,False,"{'a': 0.05, 'e': 0.9854584637092955}",20,0,-201.82351374714702,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
